"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"KOR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"KOR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"LUX","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",20543.462,
"LUX","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",20495.445,
"LUX","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"MEX","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",2653.451,
"MEX","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",2684.695,
"MEX","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"NLD","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",8439.568,
"NLD","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",8351.843,
"NLD","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"NZL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",12900.707,
"NZL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",13465.562,
"NZL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"NOR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",20093.398,
"NOR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",17224.679,
"NOR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"POL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",6056.27,
"POL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",6221.502,
"POL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"PRT","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",7288.282,
"PRT","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",7098.987,
"PRT","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"SVK","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",5568.033,
"SVK","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",5811.212,
"SVK","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"ESP","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",6743.009,
"ESP","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",6976.944,
"ESP","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"SWE","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",14658.08,
"SWE","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",14917.142,
"SWE","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"CHE","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"CHE","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"CHE","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"TUR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",3208.683,
"TUR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",3591.292,
"TUR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"GBR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",9770.82,
"GBR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",9048.388,
"GBR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"USA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"USA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"USA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"ARG","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",2754.207,
"ARG","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"ARG","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"BRA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"BRA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"BRA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"CHL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",6675.806,
"CHL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",5909.571,
"CHL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",6060.604,
"CHN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"COL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"COL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"COL","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"CRI","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"CRI","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"CRI","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"EST","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",6111.092,
"EST","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",6513.922,
"EST","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"IND","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"IND","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"IND","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"IDN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"IDN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",169.575,
"IDN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"ISR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",4484.232,
"ISR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",4185.221,
"ISR","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"LVA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",5337.346,
"LVA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",5313.316,
"LVA","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"LTU","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",5199.485,
"LTU","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",5479.133,
"LTU","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"RUS","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",5610.804,
"RUS","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",5061.743,
"RUS","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"SAU","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"SAU","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"SAU","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"SVN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",9656.817,
"SVN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",8610.292,
"SVN","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
"ZAF","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2014",,"M"
"ZAF","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2015",,"M"
"ZAF","EDUEXP","EARLYCHILDEDU","USD_STUDENT","A","2016",,"M"
